source,source_id,url,price,currency,property_type,land_area_m2,construction_area_m2,bedrooms,bathrooms,parking_spaces,age_years,price_per_construction_m2,price_per_land_m2,latitude,longitude,coordinate_quality,state,municipality,neighborhood,postal_code,street,inegi_cve_ageb,ageb_assignment_quality,population,occupied_housing,population_density,housing_density,car_ownership_ratio,internet_access_ratio,average_schooling,employment_ratio,establishments_500m,establishments_1km,retail_500m,retail_1km,restaurants_hotels_500m,restaurants_hotels_1km,health_500m,health_1km,education_500m,education_1km,financial_500m,financial_1km,professional_services_500m,professional_services_1km,training_readiness,market_segment,price_band,quality_flags
mercadolibre,MLM-4791954054,https://casa.mercadolibre.com.mx/MLM-4791954054-casa-cuautla-morelos-_JM,1850000.0,MXN,casa,160.0,130.0,3,2.0,2,,14230.77,,,,medium,Morelos,Cuautla,Otilio Montaño,,,0423,approximate_coordinate,3356.0,893.0,2745.0920655164637,730.4431509255668,0.49944008958566627,0.5912653975363942,10.43,0.9924065420560748,74,438,32,182,14,82,1,14,1,9,0,1,0,4,B,residential,1M-2M,missing_coordinates
mercadolibre,MLM-3200914775,https://casa.mercadolibre.com.mx/MLM-3200914775-enorme-e-inigualable-casa-en-venta-lista-para-habitar-localizada-en-real-de-oaxtepec-mor-_JM,10900000.0,MXN,casa,1800.0,700.0,6,9.0,9,,15571.43,,,,medium,Morelos,Yautepec,Real de Oaxtepec,,,0409,approximate_coordinate,288.0,100.0,353.56376816215766,122.76519727852695,0.83,0.79,11.66,0.9645390070921985,2,44,1,12,0,11,0,2,0,0,0,0,0,0,B,residential,8M-12M,missing_coordinates
mercadolibre,MLM-5064730880,https://casa.mercadolibre.com.mx/MLM-5064730880-casa-en-venta-en-fracc-residencial-sumiya-estricta-vigilancia-24-horas-_JM,46500000.0,MXN,casa,4312.0,1681.0,8,9.0,9,,27662.11,,,,medium,Morelos,Jiutepec,Sumiya,,,0122,approximate_coordinate,1858.0,564.0,1540.789692968381,467.71011132086477,0.74822695035461,0.8156028368794326,12.28,0.9752380952380952,13,200,5,81,2,21,0,6,0,7,0,0,0,1,B,residential,>20M,missing_coordinates
mercadolibre,MLM-5364327000,https://casa.mercadolibre.com.mx/MLM-5364327000-casa-en-venta-en-lomas-de-aiyana-en-xochitepec-_JM,2650000.0,MXN,casa,211.0,80.0,1,1.0,1,,33125.0,,,,unusable,Morelos,Xochitepec,,,,,unusable,,,,,,,,,,,,,,,,,,,,,,,E,residential,2M-3M,missing_coordinates
mercadolibre,MLM-2908860339,https://casa.mercadolibre.com.mx/MLM-2908860339-casa-en-venta-sobre-fairway-en-paraiso-country-club-_JM,16800000.0,MXN,casa,450.0,411.0,5,7.0,7,,40875.91,,,,unusable,Morelos,Emiliano Zapata,Fraccionamiento Paraíso Country Club,,,,unusable,,,,,,,,,,,,,,,,,,,,,,,E,residential,12M-20M,missing_coordinates
mercadolibre,MLM-5723989108,https://casa.mercadolibre.com.mx/MLM-5723989108-casa-en-venta-fraccionamiento-burgos-bugambilias-morelos-_JM,11900000.0,MXN,casa,377.0,359.0,6,7.0,7,,33147.63,,,,unusable,Morelos,Temixco,Burgos Bugambilias,,,,unusable,,,,,,,,,,,,,,,,,,,,,,,E,residential,8M-12M,missing_coordinates
mercadolibre,MLM-2745736697,https://casa.mercadolibre.com.mx/MLM-2745736697-casa-en-villa-de-ayala-morelos-casa-nueva-dentro-de-fraccionamiento-_JM,1890000.0,MXN,casa,120.0,95.0,2,2.0,1,,19894.74,,,,unusable,Morelos,Ayala,Anenecuilco Centro,,,,unusable,,,,,,,,,,,,,,,,,,,,,,,E,residential,1M-2M,missing_coordinates
mercadolibre,MLM-2874594771,https://casa.mercadolibre.com.mx/MLM-2874594771-oportunidad-casa-con-uso-comercial-en-vista-hermosa-cuernavaca-morelos-_JM,7470000.0,MXN,casa,302.0,359.0,4,4.0,4,,20807.8,,,,medium,Morelos,Cuernavaca,Vista Hermosa,,,0187,approximate_coordinate,630.0,227.0,1278.5954112765228,460.70025136471537,0.7929515418502202,0.9030837004405287,13.55,0.9970501474926253,426,1565,67,519,78,237,126,195,15,47,16,55,16,61,B,residential,5M-8M,missing_coordinates
mercadolibre,MLM-5970504932,https://casa.mercadolibre.com.mx/MLM-5970504932-casa-en-venta-fraccionamiento-lomas-de-cocoyoc-morelos-_JM,24000000.0,MXN,casa,1500.0,578.0,6,7.0,7,,41522.49,,,,medium,Morelos,Atlatlahucan,Lomas De Cocoyoc,,,0138,approximate_coordinate,973.0,397.0,335.65998876705885,136.9547950056756,0.924433249370277,0.9420654911838791,14.18,0.972568578553616,46,49,16,16,15,15,1,1,0,1,0,0,0,0,B,residential,>20M,missing_coordinates
mercadolibre,MLM-4790582094,https://casa.mercadolibre.com.mx/MLM-4790582094-casa-en-ventacolplan-de-ayala-_JM,2600000.0,MXN,casa,643.0,186.0,3,3.0,3,,13978.49,,,,low,Morelos,Cuautla,Plan De Ayala,,,,unusable,,,,,,,,,,,,,,,,,,,,,,,E,residential,2M-3M,missing_coordinates
