price_band,sample_quality,n,mae,median_ae,rmse,mape,median_percentage_error,within_10_pct,within_20_pct,within_30_pct
8M-12M,LOW_SAMPLE_10_19,19,2528102.8842910463,2123861.8433917537,3093749.743127783,25.04644044330422,21.84951177889476,26.31578947368421,42.10526315789473,68.42105263157895
>20M,LOW_SAMPLE_5_9,8,15064448.555689543,10283037.582934242,18043317.324935105,38.65228646682231,38.21744096777296,0.0,25.0,37.5
<1M,LOW_SAMPLE_5_9,6,1977797.4159883102,1485200.8539120015,2440304.625094985,410.4643189819867,201.229876494844,0.0,0.0,0.0
12M-20M,LOW_SAMPLE_<5,3,4717189.184461139,5084483.199400278,4805232.387691471,35.66327193786865,33.23191633594953,0.0,0.0,33.33333333333333
1M-2M,OK_20_PLUS,33,657239.080608883,405049.8771045138,925379.9346133358,47.31855114434107,30.128575115445333,21.21212121212121,42.42424242424242,48.484848484848484
5M-8M,OK_20_PLUS,33,1760986.9983839511,1415040.624889261,2224524.446267073,28.364988950560964,23.7821953762901,24.242424242424242,48.484848484848484,63.63636363636363
2M-3M,OK_20_PLUS,30,1525608.3898427545,466131.1496649196,4206082.349977826,67.05620795786895,21.938949547022208,23.333333333333332,46.666666666666664,66.66666666666666
3M-5M,OK_20_PLUS,23,1388092.6331902,1030516.9448684724,1853104.5568626968,35.02467061204802,27.59107927648172,26.08695652173913,43.47826086956522,56.52173913043478
