source,sample_quality,n,mae,median_ae,rmse,mape,median_percentage_error,within_10_pct,within_20_pct,within_30_pct
icasas,LOW_SAMPLE_5_9,6,1389595.4269501155,1062956.4365746428,1753508.9987354886,60.72475528311124,50.16875677663219,16.666666666666664,33.33333333333333,33.33333333333333
mercadolibre,OK_20_PLUS,149,2306887.0174501985,1107963.3986776378,4965770.61911243,55.74052579939032,26.759664612633284,21.476510067114095,41.61073825503356,57.04697986577181
