municipality,sample_quality,n,mae,median_ae,rmse,mape,median_percentage_error,within_10_pct,within_20_pct,within_30_pct
Cuautla,LOW_SAMPLE_10_19,18,1047309.4388475849,775100.9343378539,1449633.0413901636,47.66748417334171,36.81834999366334,27.77777777777778,44.44444444444444,44.44444444444444
Jiutepec,LOW_SAMPLE_10_19,18,6479201.795527328,614210.0746826853,11867933.077875612,98.10802691563134,29.347616934269222,16.666666666666664,38.88888888888889,50.0
Xochitepec,LOW_SAMPLE_10_19,12,2684723.1856524195,675937.7721008642,6493265.095189742,139.47323991547879,35.72613707635972,25.0,33.33333333333333,41.66666666666667
Emiliano Zapata,LOW_SAMPLE_5_9,9,2604021.4452025224,2123861.8433917537,3484667.969061694,35.88175411397936,30.128575115445333,11.11111111111111,22.22222222222222,44.44444444444444
Temixco,LOW_SAMPLE_5_9,8,1559668.61244953,1497484.8388302037,1866335.1723798707,50.78889412840981,25.235537706125015,12.5,25.0,62.5
Ayala,LOW_SAMPLE_<5,4,1693248.2920559992,404936.89120781526,2901624.7545947367,41.99333311185989,20.729480894489924,0.0,50.0,75.0
Cuernavaca,OK_20_PLUS,39,1781982.2450674106,1266430.538790511,2539159.293447649,31.781207510525753,25.188028464118446,23.076923076923077,48.717948717948715,66.66666666666666
Atlatlahucan,OK_20_PLUS,24,1349185.498041673,939404.5391274607,1742264.6486506988,25.749782171872514,15.424730070318592,37.5,54.166666666666664,70.83333333333334
Yautepec,OK_20_PLUS,23,1730676.6578230744,1742634.3553795307,2269434.745658111,70.32028955150378,35.1378250052971,8.695652173913043,30.434782608695656,43.47826086956522
