training_readiness,sample_quality,n,mae,median_ae,rmse,mape,median_percentage_error,within_10_pct,within_20_pct,within_30_pct
A,LOW_SAMPLE_<5,1,767158.9197385279,767158.9197385279,767158.9197385279,51.14392798256853,51.14392798256853,0.0,0.0,0.0
B,OK_20_PLUS,114,1873513.8606442604,909439.4054041747,4214562.312011972,33.65040312905548,25.449340605759335,22.807017543859647,43.859649122807014,59.64912280701754
C,OK_20_PLUS,40,3442899.978214902,1657828.7619457967,6455819.048578046,119.55992477782328,40.43607283779799,17.5,35.0,47.5
