experiment,n,folds,mae,median_ae,rmse,r2,mape,within_10_pct,within_20_pct,within_30_pct
global_all_types,155,5,2325360.66489395,1097739.9195154796,4681877.534413882,0.2743243368131852,56.90392819848521,19.354838709677416,40.64516129032258,55.483870967741936
residential_only_no_terrenos,122,5,1550520.1086161225,1000850.3400603622,2268808.124444708,0.6975880305108851,37.2015977646292,23.06666666666667,38.43333333333334,54.83333333333333
