price_band,n,actual_median,predicted_median,mean_bias,median_bias,mae,mape,median_prediction_ratio,bias_direction
<1M,6,705000.0,2244450.8539120015,1977797.4159883102,1485200.8539120015,1977797.4159883102,410.4643189819867,3.01229876494844,sobrevaluacion
1M-2M,33,1400000.0,1798384.1473142726,494726.09210809553,376607.18894306663,657239.080608883,47.31855114434107,1.213184145844481,sobrevaluacion
2M-3M,30,2445000.0,2649165.851788059,1140716.2350324246,203792.22685993812,1525608.3898427545,67.05620795786895,1.0838910130995458,sobrevaluacion
3M-5M,23,4014500.0,4231045.432511648,469498.5364389499,61104.36943236319,1388092.6331902,35.02467061204802,1.0162944985152969,sobrevaluacion
5M-8M,33,6300000.0,7300981.08530291,282564.9404022886,472163.7684261361,1760986.9983839511,28.364988950560964,1.0610474264441971,sobrevaluacion
8M-12M,19,10456000.0,8518403.216100471,-2036867.6806803255,-1982340.5487402324,2528102.8842910463,25.04644044330422,0.7888078959827002,subvaluacion
12M-20M,3,12800000.0,9341817.333370104,-4717189.184461139,-5084483.199400278,4717189.184461139,35.66327193786865,0.6676808366405047,subvaluacion
>20M,8,38250000.0,22666897.225271605,-8579237.936016684,-6206906.03869948,15064448.555689543,38.65228646682231,0.7751672859065797,subvaluacion
