source,n,median_price,types,municipalities,training_readiness,coordinate_quality,land_missing_pct,construction_missing_pct,mae,mape,within_20_pct,within_30_pct
icasas,6,2885000.0,"{""casa"": 5, ""terreno"": 1}","{""Cuautla"": 6}","{""C"": 3, ""B"": 2, ""A"": 1}","{""medium"": 4, ""high"": 2}",0.0,33.33333333333333,1389595.4269501155,60.72475528311124,33.33333333333333,33.33333333333333
mercadolibre,149,4000000.0,"{""casa"": 79, ""departamento"": 38, ""terreno"": 32}","{""Cuernavaca"": 39, ""Atlatlahucan"": 24, ""Yautepec"": 23, ""Jiutepec"": 18, ""Xochitepec"": 12, ""Cuautla"": 12, ""Emiliano Zapata"": 9, ""Temixco"": 8, ""Ayala"": 4}","{""B"": 112, ""C"": 37}","{""medium"": 149}",1.342281879194631,22.818791946308725,2306887.0174501985,55.74052579939032,41.61073825503356,57.04697986577181
