experiment,n,folds,mae,median_ae,rmse,r2,mape,within_10_pct,within_20_pct,within_30_pct,delta_mae,delta_mape,delta_r2
A_physical,155,5,2831281.783734107,1329990.0250757206,5792676.165732922,-0.034229435612127636,66.61848749908651,19.354838709677416,36.12903225806451,54.19354838709678,0.0,0.0,0.0
B_physical_municipality,155,5,2615855.8827939136,1118995.616686359,5541690.012372454,0.015168228197869648,64.25145707160907,17.419354838709676,37.41935483870968,52.25806451612904,-215425.90094019333,-2.367030427477445,0.049397663809997286
C_physical_municipality_ageb,155,5,2727897.5887461784,1089422.2413457166,5859898.536270607,-0.11112382479129064,62.68083928742681,15.483870967741936,37.41935483870968,53.54838709677419,-103384.1949879285,-3.937648211659706,-0.076894389179163
D_physical_municipality_censo,155,5,2455041.102875416,1087537.1581819842,4841469.3771383,0.15291983691328825,59.214138785779824,18.064516129032256,38.064516129032256,54.19354838709678,-376240.68085869076,-7.404348713306689,0.18714927252541588
E_physical_municipality_censo_denue,155,5,2325360.66489395,1097739.9195154796,4681877.534413882,0.2743243368131852,56.90392819848521,19.354838709677416,40.64516129032258,55.483870967741936,-505921.11884015705,-9.714559300601302,0.30855377242531284
