coordinate_quality,sample_quality,n,mae,median_ae,rmse,mape,median_percentage_error,within_10_pct,within_20_pct,within_30_pct
high,LOW_SAMPLE_<5,2,1062956.4365746428,1062956.4365746428,1103346.0730984972,104.70731363663998,104.70731363663998,0.0,0.0,0.0
medium,OK_20_PLUS,153,2287175.3286838625,1107963.3986776378,4911096.423341838,55.2958970492454,26.759664612633284,21.568627450980394,41.830065359477125,56.86274509803921
