property_type,sample_quality,n,mae,median_ae,rmse,mape,median_percentage_error,within_10_pct,within_20_pct,within_30_pct
casa,OK_20_PLUS,84,2241790.1222428717,1253072.8525920068,4811692.081043595,33.89495771718233,25.49576453157171,21.428571428571427,40.476190476190474,58.333333333333336
departamento,OK_20_PLUS,38,982172.1016091713,448196.0588556179,1762003.0492398709,36.64643456490432,26.290269798938283,23.684210526315788,47.368421052631575,57.89473684210527
terreno,OK_20_PLUS,33,3831237.2130978964,1811104.3694323632,7027747.394549672,134.24078527570137,44.60953491748381,18.181818181818183,36.36363636363637,48.484848484848484
