source,source_id,url,price,currency,property_type,market_segment,land_area_m2,construction_area_m2,bedrooms,bathrooms,parking_spaces,age_years,price_per_construction_m2,price_per_land_m2,price_band,latitude,longitude,geocode_latitude,geocode_longitude,coordinate_quality,state,municipality,neighborhood,postal_code,street,inegi_cve_ageb,ageb_assignment_quality,population,occupied_housing,population_density,housing_density,car_ownership_ratio,internet_access_ratio,average_schooling,employment_ratio,establishments_500m,establishments_1km,retail_500m,retail_1km,restaurants_hotels_500m,restaurants_hotels_1km,health_500m,health_1km,education_500m,education_1km,financial_500m,financial_1km,professional_services_500m,professional_services_1km,training_readiness,duplicate_group_id,dedupe_fingerprint,quality_flags
mercadolibre,MLM-5767878070,https://terreno.mercadolibre.com.mx/MLM-5767878070-440-m-en-fracc-santa-fe-area-residencial-con-vigilancia-247-_JM,1144000.0,MXN,terreno,land,440.0,,,,,,,2600.0,1M-2M,,,18.7412877,-99.2598175,medium,Morelos,Xochitepec,Alpuyeca,,,0026,approximate_coordinate,2763.0,700.0,2771.068737817901,702.044197058462,0.24857142857142858,0.39285714285714285,9.48,0.972241029113067,344,565,186,281,57,98,10,14,7,12,2,2,4,8,B,mercadolibre|1144000.0|xochitepec|alpuyeca|440.0|||,,"missing_construction_area,missing_coordinates"
mercadolibre,MLM-2886005997,https://casa.mercadolibre.com.mx/MLM-2886005997-en-venta-casa-con-enorme-jardin-y-vista-panoramica-en-lomas-de-cocoyocx-_JM,11450000.0,MXN,casa,residential,1040.0,442.0,4,5.0,5,,25904.98,,8M-12M,,,18.913685,-98.9455121,medium,Morelos,Atlatlahucan,Lomas De Cocoyoc,,,0138,approximate_coordinate,973.0,397.0,335.65998876705885,136.9547950056756,0.924433249370277,0.9420654911838791,14.18,0.972568578553616,46,49,16,16,15,15,1,1,0,1,0,0,0,0,B,mercadolibre|11450000.0|atlatlahucan|lomas de cocoyoc|1040.0|442.0|4.0|5.0,b8d42fe4eaa0ea13b81a2a5ec0bf26e0e7d130dc,missing_coordinates
mercadolibre,MLM-2811420647,https://terreno.mercadolibre.com.mx/MLM-2811420647-oportunidad-de-invertir-terreno-doble-frente-y-arboles-frutales-en-cuautla-morclave-6153-_JM,1150000.0,MXN,terreno,land,408.0,,3,,,,,2818.63,1M-2M,,,18.8439733,-98.9442991,medium,Morelos,Cuautla,Hermenegildo Galeana,,,0476,approximate_coordinate,2592.0,802.0,6350.453763750154,1964.9166352344228,0.4077306733167082,0.6458852867830424,11.07,0.9784122562674095,497,1496,178,557,78,259,40,95,12,43,2,18,13,25,B,mercadolibre|1150000.0|cuautla|hermenegildo galeana|408.0||3.0|,bb1ea8226a4b2b4bb2c520de69cb90a3c5572529,"missing_construction_area,missing_coordinates"
mercadolibre,MLM-4761858792,https://casa.mercadolibre.com.mx/MLM-4761858792-casa-en-venta-en-del-bosque-_JM,11500000.0,MXN,casa,residential,500.0,468.0,4,3.0,3,,24572.65,,8M-12M,,,18.9981159,-99.2619204,medium,Morelos,Cuernavaca,Del Bosque,,,1024,approximate_coordinate,2297.0,656.0,1826.149212248381,521.5297706725894,0.43902439024390244,0.6036585365853658,10.03,0.990210843373494,22,37,9,11,1,2,0,0,0,0,0,0,0,0,B,mercadolibre|11500000.0|cuernavaca|del bosque|500.0|468.0|4.0|3.0,b0ebcc088ca877f05d3d141cb19433c2c592da17,missing_coordinates
mercadolibre,MLM-3233322585,https://departamento.mercadolibre.com.mx/MLM-3233322585-penthouse-de-lujo-en-residencial-averanda-cuernavaca-morelos-_JM,11800000.0,MXN,departamento,residential,217.0,217.0,9,5.0,5,,54377.88,,8M-12M,,,18.932038,-99.1970684,medium,Morelos,Cuernavaca,Villas Del Lago,,,0609,approximate_coordinate,1340.0,411.0,1591.5286222621496,488.14795802219663,0.6447688564476886,0.7883211678832117,12.03,0.9624819624819625,379,1303,179,575,66,226,11,46,8,33,8,14,4,22,B,mercadolibre|11800000.0|cuernavaca|villas del lago|217.0|217.0|9.0|5.0,e6916e60efa1ea06b963001037d1151e0d57df5c,"missing_coordinates,same_land_and_construction_area"
mercadolibre,MLM-2853171345,https://departamento.mercadolibre.com.mx/MLM-2853171345-departamento-jiutepec-_JM,1188000.0,MXN,departamento,residential,60.0,60.0,2,2.0,1,,19800.0,,1M-2M,,,18.8702557,-99.1784055,medium,Morelos,Jiutepec,Vista Hermosa,,,0692,approximate_coordinate,4084.0,1127.0,4417.972614073187,1219.161394725877,0.318544809228039,0.5048802129547472,8.73,0.9756769160165213,117,421,74,203,8,35,2,13,0,14,0,1,0,4,B,mercadolibre|1188000.0|jiutepec|vista hermosa|60.0|60.0|2.0|2.0,68b81817125d2be5787184f48317b8f48f849683,"missing_coordinates,same_land_and_construction_area"
mercadolibre,MLM-3313351407,https://casa.mercadolibre.com.mx/MLM-3313351407-casa-remodelada-en-calle-privada-muy-centrica-a-plazas-y-centros-comerciales-_JM,1190000.0,MXN,casa,residential,115.0,65.0,2,2.0,1,,18307.69,,1M-2M,,,18.8240661,-99.2302064,medium,Morelos,Temixco,Acatlipa,,,002A,approximate_coordinate,1670.0,531.0,6626.735415400277,2107.0637757949385,0.4124293785310734,0.6177024482109228,10.78,0.9771739130434782,731,1153,368,560,111,148,30,44,15,23,2,3,10,17,B,mercadolibre|1190000.0|temixco|acatlipa|115.0|65.0|2.0|2.0,bfbba4364e7e0f7dc844d67ca680d6423776a5f2,missing_coordinates
mercadolibre,MLM-3262786539,https://departamento.mercadolibre.com.mx/MLM-3262786539-departamento-en-venta-en-emiliano-zapata-morelos-_JM,1192000.0,MXN,departamento,residential,71.0,71.0,3,2.0,1,,16788.73,,1M-2M,,,18.83995,-99.1870274,medium,Morelos,Emiliano Zapata,Emiliano Zapata,,,0038,approximate_coordinate,4664.0,1272.0,11925.068484559137,3252.2914048797647,0.2940251572327044,0.5345911949685535,9.3,0.9810126582278481,788,1784,414,892,76,207,33,62,17,30,6,12,13,23,B,mercadolibre|1192000.0|emiliano zapata|emiliano zapata|71.0|71.0|3.0|2.0,2f926234df2387df843912e6e09873057bb1c58d,"missing_coordinates,same_land_and_construction_area"
mercadolibre,MLM-5893498188,https://casa.mercadolibre.com.mx/MLM-5893498188-hermosa-casa-con-todos-los-acabados-alberca-y-excelentes-areas-verdes-con-grandes-arboles-_JM,1197000.0,MXN,casa,residential,73.0,67.0,2,2.0,2,,17865.67,,1M-2M,,,18.8673174,-99.2464313,medium,Morelos,Temixco,Pueblo Viejo,,,0797,approximate_coordinate,1018.0,264.0,4398.802163403339,1140.7502663442845,0.32954545454545453,0.45454545454545453,8.16,0.9817813765182186,209,436,110,223,22,45,5,9,7,13,0,0,4,6,B,mercadolibre|1197000.0|temixco|pueblo viejo|73.0|67.0|2.0|2.0,d01d25d9c79a2db2342cc2c69ae9e335cb64daa7,missing_coordinates
mercadolibre,MLM-5641715946,https://departamento.mercadolibre.com.mx/MLM-5641715946-departamento-en-venta-en-atlatlahucan-_JM,1200000.0,MXN,departamento,residential,85.0,85.0,3,2.0,1,,14117.65,,1M-2M,,,18.9105947,-98.9311186,medium,Morelos,Atlatlahucan,San Juan Texcalpan,,,0138,approximate_coordinate,973.0,397.0,335.65998876705885,136.9547950056756,0.924433249370277,0.9420654911838791,14.18,0.972568578553616,0,1,0,0,0,0,0,0,0,0,0,0,0,0,B,mercadolibre|1200000.0|atlatlahucan|san juan texcalpan|85.0|85.0|3.0|2.0,d315034df2cd8a75286caa1607b46756246852f1,"missing_coordinates,same_land_and_construction_area"
