source,source_id,url,price,currency,property_type,land_area_m2,construction_area_m2,bedrooms,bathrooms,parking_spaces,age_years,price_per_construction_m2,price_per_land_m2,latitude,longitude,coordinate_quality,state,municipality,neighborhood,postal_code,street,inegi_cve_ageb,ageb_assignment_quality,population,occupied_housing,population_density,housing_density,car_ownership_ratio,internet_access_ratio,average_schooling,employment_ratio,establishments_500m,establishments_1km,retail_500m,retail_1km,restaurants_hotels_500m,restaurants_hotels_1km,health_500m,health_1km,education_500m,education_1km,financial_500m,financial_1km,professional_services_500m,professional_services_1km,training_readiness,quality_flags,experiment_frozen_at,duplicate_group_id
mercadolibre,MLM-5468415308,https://terreno.mercadolibre.com.mx/MLM-5468415308-terrenos-en-venta-en-zona-dorada-de-cuernavaca-_JM,6300000.0,MXN,terreno,450.0,,,,,,,14000.0,,,medium,Morelos,Cuernavaca,Vista Hermosa,,,0187,approximate_coordinate,630.0,227.0,1278.5954112765228,460.70025136471537,0.7929515418502202,0.9030837004405288,13.55,0.9970501474926252,426,1565,67,519,78,237,126,195,15,47,16,55,16,61,C,"missing_construction_area,missing_coordinates",2026-08-18T15:09:03+00:00,mercadolibre|6300000.0|cuernavaca|vista hermosa|450.0|||
mercadolibre,MLM-5370001378,https://terreno.mercadolibre.com.mx/MLM-5370001378-se-vende-terreno-en-oportunidad-en-lomas-de-cocoyoc-_JM,3731662.0,MXN,terreno,643.0,,,,,,,5803.52,,,medium,Morelos,Atlatlahucan,Lomas De Cocoyoc,,,0138,approximate_coordinate,973.0,397.0,335.65998876705885,136.9547950056756,0.924433249370277,0.9420654911838792,14.18,0.972568578553616,46,49,16,16,15,15,1,1,0,1,0,0,0,0,C,"missing_construction_area,missing_coordinates",2026-08-18T15:09:03+00:00,mercadolibre|3731662.0|atlatlahucan|lomas de cocoyoc|643.0|||
mercadolibre,MLM-5199712528,https://terreno.mercadolibre.com.mx/MLM-5199712528-terreno-en-venta-en-el-miraval-_JM,2590000.0,MXN,terreno,370.0,,,,,,,7000.0,,,medium,Morelos,Cuernavaca,Miraval,,,0153,approximate_coordinate,2273.0,786.0,3568.732428562898,1234.062335613919,0.5585241730279898,0.8346055979643766,12.38,0.9834494773519163,539,2457,161,892,66,287,65,214,27,74,7,29,23,91,C,"missing_construction_area,missing_coordinates",2026-08-18T15:09:03+00:00,mercadolibre|2590000.0|cuernavaca|miraval|370.0|||
mercadolibre,MLM-2438464407,https://terreno.mercadolibre.com.mx/MLM-2438464407-se-vende-terreno-con-construccion-en-el-fraccionamiento-lomas-de-cocoyoc-_JM,5950000.0,MXN,terreno,829.0,,,,,,,7177.32,,,medium,Morelos,Atlatlahucan,Lomas De Cocoyoc,,,0138,approximate_coordinate,973.0,397.0,335.65998876705885,136.9547950056756,0.924433249370277,0.9420654911838792,14.18,0.972568578553616,46,49,16,16,15,15,1,1,0,1,0,0,0,0,C,"missing_construction_area,missing_coordinates",2026-08-18T15:09:03+00:00,mercadolibre|5950000.0|atlatlahucan|lomas de cocoyoc|829.0|||
mercadolibre,MLM-2705584815,https://terreno.mercadolibre.com.mx/MLM-2705584815-precio-de-remate-2000-m2-en-xochitepec-la-inversion-que-estabas-esperando-_JM,1279999.0,MXN,terreno,2000.0,,,,,,,640.0,,,medium,Morelos,Xochitepec,Xochitepec,,,0045,approximate_coordinate,2836.0,909.0,3021.7912815897585,968.5501674771124,0.4906490649064906,0.6798679867986799,11.16,0.9658634538152612,442,599,157,210,101,132,20,25,9,14,12,12,9,11,C,"missing_construction_area,missing_coordinates",2026-08-18T15:09:03+00:00,mercadolibre|1279999.0|xochitepec|xochitepec|2000.0|||
mercadolibre,MLM-3246463249,https://terreno.mercadolibre.com.mx/MLM-3246463249-terreno-en-venta-emiliano-zapata-morelos-_JM,28700000.0,MXN,terreno,13022.0,,,,,,,2203.96,,,medium,Morelos,Emiliano Zapata,Tezoyuca,,,017A,approximate_coordinate,4912.0,1452.0,2577.2877534851737,761.8529759895098,0.4338842975206611,0.559228650137741,9.98,0.96875,181,337,79,142,23,48,9,11,1,6,0,1,6,6,C,"missing_construction_area,missing_coordinates",2026-08-18T15:09:03+00:00,mercadolibre|28700000.0|emiliano zapata|tezoyuca|13022.0|||
mercadolibre,MLM-4747030498,https://terreno.mercadolibre.com.mx/MLM-4747030498-terreno-en-venta-500-m2-colonia-caudillo-del-sur-yautepec-ubicado-atras-de-la-gasolinera-que-esta-junto-a-la-unidad-deportiva-atlihuayan-_JM,250000.0,MXN,terreno,500.0,,,,,,,500.0,,,medium,Morelos,Jiutepec,Jiutepec,,,0620,approximate_coordinate,3641.0,1153.0,3802.7897203156135,1204.234152025241,0.593235039028621,0.7632263660017347,12.23,0.9759229534510432,779,1118,318,455,111,146,55,77,18,30,7,8,15,19,C,"missing_construction_area,missing_coordinates",2026-08-18T15:09:03+00:00,mercadolibre|250000.0|jiutepec|jiutepec|500.0|||
mercadolibre,MLM-3254214755,https://terreno.mercadolibre.com.mx/MLM-3254214755-venta-terreno-en-fraccionamiento-del-bosque-cuernavaca-t65-_JM,1758896.0,MXN,terreno,1099.0,,,,,,,1600.45,,,medium,Morelos,Cuernavaca,Del Bosque,,,1024,approximate_coordinate,2297.0,656.0,1826.149212248381,521.5297706725894,0.4390243902439024,0.6036585365853658,10.03,0.990210843373494,22,37,9,11,1,2,0,0,0,0,0,0,0,0,C,"missing_construction_area,missing_coordinates",2026-08-18T15:09:03+00:00,mercadolibre|1758896.0|cuernavaca|del bosque|1099.0|||
mercadolibre,MLM-5608415186,https://terreno.mercadolibre.com.mx/MLM-5608415186-terreno-en-venta-en-lomas-de-cocoyoc-675-m2-irregular-y-vista-abierta-_JM,4224000.0,MXN,terreno,675.85,,,,,,,6249.91,,,medium,Morelos,Atlatlahucan,Lomas De Cocoyoc,,,0138,approximate_coordinate,973.0,397.0,335.65998876705885,136.9547950056756,0.924433249370277,0.9420654911838792,14.18,0.972568578553616,46,49,16,16,15,15,1,1,0,1,0,0,0,0,C,"missing_construction_area,missing_coordinates",2026-08-18T15:09:03+00:00,mercadolibre|4224000.0|atlatlahucan|lomas de cocoyoc|675.85|||
mercadolibre,MLM-2985878831,https://terreno.mercadolibre.com.mx/MLM-2985878831-terreno-en-venta-en-parque-industrial-cuautla-_JM,5056000.0,MXN,terreno,5056.0,,,,,,,1000.0,,,medium,Morelos,Ayala,Ciudad Ayala,,,0039,approximate_coordinate,2879.0,820.0,5071.30302452846,1444.4141994141498,0.4402439024390244,0.5597560975609757,10.83,0.9796472184531886,356,513,168,222,52,69,11,16,7,10,2,2,5,6,C,"missing_construction_area,missing_coordinates",2026-08-18T15:09:03+00:00,mercadolibre|5056000.0|ayala|ciudad ayala|5056.0|||
