source_id,property_type,price,land_area_m2,construction_area_m2,bedrooms,bathrooms,parking_spaces,latitude,longitude,municipality,neighborhood,inegi_cve_ageb
MLM-5495707982,casa,9500000.0,1156.28,766.28,4,4.0,4.0,19.3449279,-99.310646,Cuajimalpa de Morelos,Loma Del Padre,0231
MLM-5030329694,casa,11750000.0,254.0,254.0,3,3.0,3.0,19.3865976,-99.2651314,Cuajimalpa de Morelos,Lomas Del Chamizal,0176
MLM-3006241847,casa,6094750.0,220.0,202.0,3,2.0,2.0,19.3678753,-99.2976727,Cuajimalpa de Morelos,Manzanastitla,0299
MLM-2792131613,casa,10900000.0,747.0,747.0,3,3.0,3.0,19.3308765,-99.325555,Cuajimalpa de Morelos,San Lorenzo Acopilco,0246
MLM-3325064319,casa,4290000.0,170.0,350.0,4,4.0,4.0,19.3531932,-99.3176009,Cuajimalpa de Morelos,San Pablo Chimalpa,0227
MLM-3160155335,casa,4690000.0,182.0,182.0,3,2.0,2.0,19.3581682,-99.272261,Cuajimalpa de Morelos,Cuajimalpa,0369
MLM-3289891111,departamento,2800000.0,64.0,64.0,3,2.0,1.0,19.405455,-99.1400863,Cuauhtémoc,Algarín,1498
MLM-3283615899,departamento,3688000.0,74.0,74.0,2,2.0,2.0,19.4071473,-99.1310771,Cuauhtémoc,Ampliación Asturias,1515
MLM-6011184458,departamento,2983500.0,61.0,61.0,2,2.0,1.0,19.4567845,-99.1568752,Cuauhtémoc,Atlampa,017A
MLM-4471890322,departamento,2186413.0,44.0,44.0,2,1.0,1.0,19.4053637,-99.1498637,Cuauhtémoc,Buenos Aires,1483
MLM-5699742014,departamento,1600000.0,52.0,52.0,3,2.0,1.0,19.4203119,-99.1284053,Cuauhtémoc,Esperanza,1074
MLM-5739032302,departamento,8400000.0,94.0,94.0,4,2.0,2.0,19.4093714,-99.1712126,Cuauhtémoc,Hipódromo,1341
MLM-5575417430,departamento,1730000.0,50.0,50.0,3,2.0,1.0,19.4549636,-99.1282072,Cuauhtémoc,Maza,0165
MLM-3264344109,casa,1990000.0,54.0,180.0,2,2.0,2.0,19.4468471,-99.12984,Cuauhtémoc,Morelos,0343
MLM-3227311637,casa,3900000.0,197.0,250.0,4,5.0,5.0,19.4530771,-99.1408516,Cuauhtémoc,Nonoalco Tlatelolco,0413
MLM-5774276464,casa,9000000.0,90.0,147.0,3,2.0,2.0,19.4058335,-99.1633037,Cuauhtémoc,Roma Sur,145A
MLM-3306542631,casa,25000000.0,304.0,746.0,8,4.0,4.0,19.4379452,-99.1624218,Cuauhtémoc,San Rafael,0682
MLM-3246318943,casa,6595000.0,380.0,380.0,4,4.0,4.0,19.4177785,-99.1314778,Cuauhtémoc,Transito,106A
MLM-5132074212,departamento,1790000.0,54.0,54.0,2,2.0,1.0,19.4586286,-99.125247,Cuauhtémoc,Valle Gómez,0127
MLM-3264133873,casa,3050000.0,152.0,100.0,3,3.0,3.0,19.5332017,-99.1496192,Gustavo A. Madero,Zona Escolar,2786
