codigo_act,latitud,longitud
112519,19.41887981,-99.09012648
112519,19.26452374,-99.0895052
112519,19.27568509,-99.10182441
112519,19.27748645,-99.09797138
112519,19.27485335,-99.10180151
112519,19.26501873,-99.09050621
112519,19.27568404,-99.1005891
112515,19.27579044,-99.26354027
115119,19.40363965,-99.18379851
112515,19.13863297,-99.05807963
115113,19.42208591,-99.06767877
112519,19.55929956,-99.13127461
112519,19.56021291,-99.13318075
112519,19.56021548,-99.13318606
112519,19.56021504,-99.13318515
112515,19.28888889,-99.26444444
112515,19.2843325,-99.27448806
115113,19.40143379,-99.07238078
115111,19.37608909,-99.1559072
115113,19.37163601,-99.0948138
115111,19.37824357,-99.11346142
115111,19.35231717,-99.04746111
115111,19.39569423,-99.19394154
115111,19.49570117,-99.09577574
115111,19.44142927,-99.10842619
112515,19.27579044,-99.26354027
112515,19.28608194,-99.26973333
112515,19.27579044,-99.26354027
112515,19.27579044,-99.26354027
112515,19.27579044,-99.26354027
115111,19.43577217,-99.21220972
115113,19.35597739,-99.02667564
115119,19.20258792,-99.13571354
115111,19.48801907,-99.09740285
112515,19.27579044,-99.26354027
112515,19.27579044,-99.26354027
115111,19.338287,-99.22076647
112515,19.25783778,-99.317165
112515,19.17037216,-98.99667112
112515,19.22034937,-99.09862453
112519,19.26606695,-99.10043118
115113,19.4662123,-99.12524178
112519,19.28741235,-99.1017967
115111,19.39118113,-99.11337236
112519,19.26437536,-99.09049541
112515,19.28281576,-99.28795749
112519,19.49233698,-99.20255381
115111,19.27771352,-99.238662
212321,19.30724808,-99.18886187
212321,19.30730185,-99.18957832
213111,19.3670277,-99.25915095
213111,19.36714327,-99.25929282
212393,19.42658265,-99.19182852
213111,19.36702701,-99.25915011
213111,19.36713595,-99.25928382
212311,19.32894469,-99.07517169
212210,19.38555414,-99.17465867
212392,19.43410432,-99.2128105
213111,19.43607444,-99.21251509
212393,19.42685643,-99.17047162
213111,19.43625311,-99.21262376
213111,19.39189766,-99.18562154
213111,19.43750194,-99.18629156
213119,19.49115146,-99.12592064
213119,19.42990005,-99.21157591
213119,19.4281697,-99.19993566
213111,19.4326856,-99.18326649
211111,19.4281697,-99.19993566
212398,19.42461956,-99.15950915
212231,19.42953949,-99.20279027
211111,19.42848489,-99.16317016
211111,19.42848489,-99.16317016
212399,19.43048404,-99.20250445
212399,19.43087231,-99.20226896
212222,19.44386939,-99.19859853
212221,19.43757281,-99.18742723
212221,19.42921569,-99.19869884
213119,19.43164262,-99.21178736
212221,19.42982486,-99.2107572
212221,19.443863,-99.1985821
213111,19.36739947,-99.259598
213111,19.36713003,-99.25927656
213119,19.43846438,-99.2000312
213111,19.43966999,-99.17521556
211112,19.43752787,-99.18667052
211111,19.43946413,-99.17491727
211111,19.42905938,-99.21618079
211112,19.36915917,-99.26192053
