ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,TVIVHAB,VPH_AUTOM,VPH_INTER,GRAPROES,PEA,POCUPADA
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,0561,000,3454,1044,403,751,11.47,1870,1831
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,0576,000,3168,946,359,667,11.36,1823,1789
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,0580,000,4220,1223,424,901,11.29,2344,2291
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,0595,000,5116,1480,557,992,10.59,2833,2763
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,0608,000,5135,1500,465,938,10.35,2948,2901
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,0612,000,4333,1253,411,809,10.65,2415,2365
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,0627,000,4912,1545,488,937,10.01,2710,2654
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,0631,000,5263,1449,851,1156,11.75,2681,2598
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,0650,000,6499,1815,614,1281,10.65,3351,3239
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,0665,000,7747,2408,908,1774,11.39,4420,4307
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,067A,000,6226,2089,1218,1785,12.98,3595,3516
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,0684,000,3991,1394,869,1192,13.34,2118,2066
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,0699,000,2696,900,658,803,14.07,1476,1425
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,0701,000,2400,825,550,719,13.93,1380,1340
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,0716,000,3775,1256,710,1012,12.39,2151,2107
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,0720,000,2653,929,681,836,14.01,1406,1377
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,074A,000,2850,934,420,682,12.31,1530,1468
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,0754,000,2282,733,305,577,11.84,1285,1252
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,0769,000,9195,3178,1969,2695,12.82,5573,5430
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,0773,000,2314,693,266,481,11.12,1199,1150
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,0788,000,2450,775,314,592,11.88,1390,1341
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,0792,000,4954,1651,772,1350,11.92,2823,2749
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,0805,000,1996,741,476,621,13.5,1208,1174
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,081A,000,3761,1408,753,1159,13.04,2148,2102
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,0824,000,3028,981,500,807,12.32,1702,1655
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,0839,000,3004,1072,660,943,13.94,1680,1646
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,0843,000,3643,1245,752,1063,13.54,2088,1999
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,0858,000,4395,1412,594,1027,11.95,2368,2294
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,0877,000,821,213,65,135,10,444,438
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,0881,000,5207,1464,468,1027,10.25,2701,2648
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,0896,000,1532,568,282,464,12.96,846,837
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,0909,000,1810,645,329,528,12.97,939,920
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,0913,000,3311,976,382,799,11.45,1705,1644
