comparison_type,model,n,mae,median_ae,rmse,r2,mape,within_20_pct,within_30_pct,bias_mean,bias_median,median_prediction_ratio
historical_different_dataset,avm_v2_v1_global,155,2271378.9558824534,1049960.9465622779,4782468.974701986,0.22319438041230466,55.93346371488919,41.29032258064517,56.12903225806451,,,
historical_different_dataset,avm_v2_v1_houses_only,84,3011979.1333630783,1825967.1676082343,5026079.538415667,0.14548085852474518,56.273325164169,31.25,40.73529411764706,,,
v2_same_dataset_cv,avm_v2_v2_global,271,2180689.1190711777,854392.164996021,4388299.171574815,0.7044735845406278,50.431021769807906,34.31734317343174,50.184501845018445,-261825.3535193036,117534.92267840914,1.025195814773519
v2_same_dataset_cv,avm_v2_v2_residential,188,1460673.4719746816,642304.8758198156,3091570.094636622,0.7037420628675256,28.790510871934774,44.680851063829785,63.829787234042556,-246854.87492822704,592.3336895947577,1.0035923397879933
v2_same_dataset_cv,avm_v2_v2_land,83,3613991.0544676995,1388786.538616266,6519861.933353478,0.6769144716200604,91.79315767738694,38.55421686746988,44.57831325301205,-106521.8446893303,271693.682298271,1.1009318609393797
v2_same_dataset_cv,avm_v2_v2_segmented_combined,271,2120176.6429965287,770815.1650001274,4432803.429173655,0.6984489836091539,48.08652446917658,42.80442804428044,57.93357933579336,-203874.6479546904,78596.55849516368,1.032379122027712
