training_size_pct,mean_records,mean_cv_mae,std_cv_mae,mean_cv_r2,std_cv_r2,mean_within_20,mean_within_30
25,48.0,1989099.7070166764,509965.09553910216,0.4747465838092528,0.11184513043762388,39.23611111111111,52.08333333333334
50,94.0,1819900.7516387,231535.46504282692,0.5429728360707117,0.08869445054296488,39.53900709219858,55.141843971631204
75,140.0,1705618.5219136353,112483.6674178387,0.5208366780857431,0.10737501098145838,43.452380952380956,59.4047619047619
100,188.0,1503825.243473089,0.0,0.6948992105814866,0.0,39.8936170212766,62.76595744680851
