experiment,n,mae,median_ae,rmse,r2,mape,median_absolute_percentage_error,within_10_pct,within_20_pct,within_30_pct,bias_mean,bias_median,median_prediction_ratio,delta_mae,delta_mape,delta_r2
A_physical,188,1640084.4449959917,700140.5325828727,3186179.477618543,0.6853322236127354,37.23753538614258,24.359486858993968,22.872340425531913,42.02127659574468,57.446808510638306,96357.78153950194,82394.76744771271,1.0273390825583864,0.0,0.0,0.0
B_municipality,188,1464429.638065723,679881.4237949788,3069647.7780442876,0.7079286950847765,32.59662431484854,25.229100820099983,26.063829787234045,43.08510638297872,57.446808510638306,61071.571149448646,63814.687363380275,1.0295149933370236,-175654.80693026865,-4.640911071294042,0.022596471472041135
C_ageb,188,1473339.6748093602,668594.9678440735,3072035.366226911,0.7074741691937085,33.580079157771365,24.08730003245048,19.680851063829788,42.02127659574468,58.51063829787234,43530.95714773999,178133.91122629633,1.0559123082829758,-166744.77018663147,-3.657456228371217,0.022141945580973155
D_censo,188,1448528.1254167361,647916.6927098772,2877260.3718268904,0.743392037841211,32.206418935071916,22.957515714975955,21.808510638297875,44.680851063829785,61.170212765957444,78464.9430090829,149724.4601308091,1.063734354490814,-191556.31957925553,-5.031116451070666,0.058059814228475615
E_denue,188,1503825.243473089,635801.9797210412,3137370.1922569405,0.6948992105814866,33.44922141412095,24.86239537161109,21.808510638297875,39.8936170212766,62.76595744680851,72993.71020505538,136193.09352922998,1.052045360397918,-136259.2015229026,-3.7883139720216334,0.009566986968751245
