codigo_act,latitud,longitud
112519,18.61970918,-99.00387629
112519,18.62917056,-98.99785906
112515,18.58739055,-99.04187825
114119,18.72770159,-99.33615276
112519,18.70408293,-98.98409314
112519,18.62416788,-99.00948753
112519,18.63608698,-98.99211508
112519,18.6529222,-98.98395988
112519,18.61962668,-99.00147488
112519,18.63226572,-98.99580858
112515,18.89412978,-99.18789171
112519,18.64825513,-99.02655563
112515,18.70018008,-98.80811841
112519,18.5903852,-99.02790881
112519,18.62091867,-99.01044522
112519,18.59446424,-99.0384519
112519,18.61689727,-99.0102117
112516,18.74898087,-99.22352925
115111,18.90023303,-99.05219294
112519,18.64727741,-99.22120989
112519,18.64727741,-99.22120989
112515,18.64907444,-98.95045442
112515,18.8349094,-98.96062788
112519,18.6616461,-98.99649577
115210,18.67571446,-99.25406416
115210,18.71703527,-98.79561266
115113,18.75331397,-98.77858249
115113,18.85898893,-98.92985746
112515,18.65505946,-98.92430261
114119,18.66730873,-98.91734373
112519,18.61325811,-99.01301651
112519,18.62068804,-99.01067051
112519,18.64512368,-99.20266768
115113,18.5975226,-99.3640149
115113,18.89861948,-98.72579482
114119,18.83936745,-99.20103152
112519,18.8930977,-99.18707402
112519,18.66168112,-99.20986701
112519,18.66274592,-99.20955597
112515,18.56299394,-99.10292132
112519,18.8,-99.1077
112515,18.65506545,-98.99453379
112519,18.71226954,-98.93877978
115113,18.89075311,-98.72438942
112515,18.76090252,-98.87913881
112519,18.62069236,-99.00117194
112519,18.65294237,-99.03271296
112519,18.65914261,-99.00325148
112519,18.55701803,-99.0155493
112519,18.75854713,-99.1244541
112519,18.61930478,-99.00445407
112515,18.79491972,-99.10438083
115111,18.9387259,-99.25734347
112519,18.63700088,-99.0042993
112519,18.82148576,-99.18395435
112519,18.83707583,-99.27375139
112519,18.69900863,-99.10744263
112519,18.64502917,-99.02421778
112515,18.83008367,-99.1767076
112519,18.82773037,-99.2286922
112519,18.88242862,-98.97732805
112519,18.89447231,-99.18828941
112515,18.87243847,-99.15860155
112519,18.64773744,-99.21933449
112515,18.62671931,-98.99535537
112515,18.53392208,-99.16764306
112519,18.78597951,-99.11821348
112515,18.57999775,-99.04135077
112519,18.66284801,-98.9493213
112519,18.6549418,-99.03563138
112519,18.64545683,-99.02068715
112519,18.66411076,-99.21099249
112515,18.68021203,-99.14952136
112519,18.58382967,-99.04437259
112519,18.65539028,-99.03799194
112515,18.71497502,-99.10819218
112519,18.65947289,-99.01709516
112519,18.66638052,-99.20170929
112515,18.69744654,-98.807054
112519,18.63182621,-98.99329689
