ENTIDAD,MUN,LOC,AGEB,MZA,POBTOT,TVIVHAB,VPH_AUTOM,VPH_INTER,GRAPROES,PEA,POCUPADA
17,004,0014,0537,000,133,39,9,5,7.19,62,57
17,004,0014,0541,000,65,23,13,13,10.42,30,30
17,004,0014,0556,000,18,5,3,*,10.17,10,10
17,004,0023,0000,000,2547,714,249,328,8.82,1244,1235
17,004,0023,0594,000,1951,560,209,277,9.2,951,948
17,004,0023,0607,000,596,154,40,51,7.48,293,287
17,004,0026,0000,000,8835,2313,733,1069,8.86,4465,4429
17,004,0026,0240,000,791,238,77,111,9.21,420,418
17,004,0026,0414,000,5426,1359,394,606,8.43,2702,2682
17,004,0026,0429,000,2618,716,262,352,9.59,1343,1329
17,004,0027,0000,000,2879,812,371,361,9.15,1484,1465
17,004,0027,001A,000,15,6,5,3,14.08,11,11
17,004,0027,0043,000,1614,459,215,210,9.3,865,860
17,004,0027,0058,000,694,195,92,81,9,345,337
17,004,0027,0081,000,551,150,58,67,8.77,261,255
17,004,0027,0096,000,5,2,*,*,*,*,*
17,005,0000,0000,000,10520,2996,1001,837,7.82,4200,4040
17,005,0001,0000,000,1907,619,236,316,9.44,888,860
17,005,0001,0036,000,1110,371,140,190,9.76,550,545
17,005,0001,006A,000,206,62,19,22,8.01,101,101
17,005,0001,0074,000,298,95,50,59,10.12,100,78
17,005,0001,0089,000,291,89,25,43,8.49,135,134
17,005,0001,0093,000,2,2,*,*,*,*,*
17,006,0000,0000,000,187118,52396,21279,30286,10.04,97870,96153
17,006,0001,0000,000,157336,44314,18207,26968,10.26,82833,81355
17,006,0001,0048,000,2562,791,373,533,11.14,1335,1305
17,006,0001,0137,000,1619,405,177,254,10.18,848,832
17,006,0001,0156,000,1624,504,167,333,10.84,842,829
17,006,0001,0175,000,2864,835,376,529,11.06,1535,1493
17,006,0001,0211,000,2449,620,280,385,10.05,1249,1211
17,006,0001,0226,000,2726,747,364,498,10.71,1427,1402
17,006,0001,025A,000,560,160,60,118,11.33,277,270
17,006,0001,0283,000,2102,596,237,372,10.38,1091,1076
17,006,0001,0300,000,1369,362,166,243,9.83,653,651
17,006,0001,0315,000,305,80,24,41,8.87,155,153
17,006,0001,032A,000,6374,1698,525,881,9.13,3381,3354
17,006,0001,0334,000,1201,363,164,227,10.72,643,629
17,006,0001,0349,000,402,134,97,122,13.11,209,203
17,006,0001,0353,000,1828,490,156,236,8.75,959,938
17,006,0001,0368,000,1914,476,224,243,9.39,938,921
